How many hours do you spend on your phone daily?,How many hours do you spend reading a book IN YOUR SPARE TIME weekly?,When was the last time you've read a book for pleasure (IN YOUR FREE TIME)?,Is there a reason you haven't read a book in the past?
2 - 4 hours,1 - 2 hours,4-6 months ago,"I use other forms of entertainment (e.g. TV, card games)"
4 - 8 hours,> 1 hour,In the past week,I do read books though...
> 1 hour,> 1 hour,1-3 months ago,"Can't find anything new/interesting, I use other forms of entertainment (e.g. TV, card games), I've read every book"
2 - 4 hours,8 - 16 hours,In the past week,I do read books though...
1 - 2 hours,> 1 hour,Past 2-3 weeks,"Too busy with other stuff (e.g. extracurriculars, homework, assessments)."
2 - 4 hours,> 1 hour,1-3 months ago,"Too busy with other stuff (e.g. extracurriculars, homework, assessments)., Reading just lost its allure, I use other forms of entertainment (e.g. TV, card games)"
4 - 8 hours,> 1 hour,1-3 months ago,"Reading just lost its allure, I use other forms of entertainment (e.g. TV, card games)"
2 - 4 hours,4 - 8 hours,In the past week,I do read books though...
8+ hours,> 1 hour,6+ months ago,"Too busy with other stuff (e.g. extracurriculars, homework, assessments)., Reading just lost its allure, I use other forms of entertainment (e.g. TV, card games), i spend like 8 hrs a day on tiktok 😭🙏"
2 - 4 hours,> 1 hour,In the past week,"Can't find anything new/interesting, Too busy with other stuff (e.g. extracurriculars, homework, assessments)., I use other forms of entertainment (e.g. TV, card games)"
1 - 2 hours,> 1 hour,1-3 months ago,"Too busy with other stuff (e.g. extracurriculars, homework, assessments)., Reading just lost its allure"
1 - 2 hours,> 1 hour,1-3 months ago,"Can't find anything new/interesting, Too busy with other stuff (e.g. extracurriculars, homework, assessments)., I use other forms of entertainment (e.g. TV, card games)"
1 - 2 hours,2 - 4 hours,In the past week,I do read books though...
2 - 4 hours,1 - 2 hours,Past 2-3 weeks,"Too busy with other stuff (e.g. extracurriculars, homework, assessments)."
2 - 4 hours,1 - 2 hours,In the past week,"Can't find anything new/interesting, Too busy with other stuff (e.g. extracurriculars, homework, assessments)., I use other forms of entertainment (e.g. TV, card games)"
2 - 4 hours,4 - 8 hours,In the past week,"I do read books though..., I use other forms of entertainment (e.g. TV, card games)"
1 - 2 hours,8 - 16 hours,In the past week,I do read books though...
2 - 4 hours,> 1 hour,1-3 months ago,"I use other forms of entertainment (e.g. TV, card games), Im a videogame addict"
2 - 4 hours,4 - 8 hours,In the past week,"I do read books though..., Can't find anything new/interesting, Too busy with other stuff (e.g. extracurriculars, homework, assessments)., I use other forms of entertainment (e.g. TV, card games)"
8+ hours,> 1 hour,6+ months ago,"I use other forms of entertainment (e.g. TV, card games)"
> 1 hour,> 1 hour,4-6 months ago,"I use other forms of entertainment (e.g. TV, card games)"
2 - 4 hours,1 - 2 hours,In the past week,"I do read books though..., Too busy with other stuff (e.g. extracurriculars, homework, assessments)., Reading just lost its allure"
1 - 2 hours,8 - 16 hours,In the past week,I do read books though...
2 - 4 hours,> 1 hour,6+ months ago,I dont like books. Oh fayaaaaaaaazzzzzz
4 - 8 hours,8 - 16 hours,In the past week,"I do read books though..., Can't find anything new/interesting, The books I want are too expensive"
2 - 4 hours,1 - 2 hours,In the past week,"I do read books though..., Can't find anything new/interesting, Too busy with other stuff (e.g. extracurriculars, homework, assessments)., Reading just lost its allure, I use other forms of entertainment (e.g. TV, card games), doomscrolling on tiktok is more appealing and books have lost their original plots and awesomeness"
4 - 8 hours,1 - 2 hours,In the past week,"Can't find anything new/interesting, Too busy with other stuff (e.g. extracurriculars, homework, assessments)."
1 - 2 hours,4 - 8 hours,In the past week,"Can't find anything new/interesting, Too busy with other stuff (e.g. extracurriculars, homework, assessments)., I use other forms of entertainment (e.g. TV, card games)"
2 - 4 hours,1 - 2 hours,Past 2-3 weeks,"Too busy with other stuff (e.g. extracurriculars, homework, assessments)., I use other forms of entertainment (e.g. TV, card games)"
> 1 hour,16+ hours,In the past week,"Firstly I don't have a phone, second I like reading books."
4 - 8 hours,> 1 hour,1-3 months ago,"Too busy with other stuff (e.g. extracurriculars, homework, assessments)., I use other forms of entertainment (e.g. TV, card games)"
4 - 8 hours,> 1 hour,6+ months ago,why read when you can play fortnite
2 - 4 hours,1 - 2 hours,In the past week,"Can't find anything new/interesting, I use other forms of entertainment (e.g. TV, card games)"
2 - 4 hours,2 - 4 hours,In the past week,"I do read books though..., Can't find anything new/interesting, Reading just lost its allure"
